"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Yes","Primary","All Locality Types","TMA-Tema Central","Female",1,2,1,1,0
"Yes","Primary","All Locality Types","Volta","Both sexes",19,38,34,37,28
"Yes","Primary","All Locality Types","Volta","Male",12,19,16,19,19
"Yes","Primary","All Locality Types","Volta","Female",7,19,18,18,9
"Yes","Primary","All Locality Types","Central Tongu","Both sexes",0,0,3,4,1
"Yes","Primary","All Locality Types","Central Tongu","Male",0,0,1,2,1
"Yes","Primary","All Locality Types","Central Tongu","Female",0,0,2,2,0
"Yes","Primary","All Locality Types","Eastern","Both sexes",26,76,79,74,52
"Yes","Primary","All Locality Types","Eastern","Male",12,50,43,37,27
"Yes","Primary","All Locality Types","Eastern","Female",14,26,36,37,25
"Yes","Primary","All Locality Types","Birim Central Municipal","Both sexes",1,0,2,1,0
"Yes","Primary","All Locality Types","Birim Central Municipal","Male",0,0,1,0,0
"Yes","Primary","All Locality Types","Birim Central Municipal","Female",1,0,1,1,0
"Yes","Primary","All Locality Types","Upper West Akim","Both sexes",0,3,5,1,3
"Yes","Primary","All Locality Types","Upper West Akim","Male",0,3,3,0,1
"Yes","Primary","All Locality Types","Upper West Akim","Female",0,0,2,1,2
"Yes","Primary","All Locality Types","Ashanti","Both sexes",63,137,133,96,108
"Yes","Primary","All Locality Types","Ashanti","Male",41,86,77,51,56
"Yes","Primary","All Locality Types","Ashanti","Female",22,51,56,45,52
"Yes","Primary","All Locality Types","Amansie Central","Both sexes",0,2,2,2,0
"Yes","Primary","All Locality Types","Amansie Central","Male",0,1,1,2,0
"Yes","Primary","All Locality Types","Amansie Central","Female",0,1,1,0,0
"Yes","Primary","All Locality Types","Asante Akim Central Municipal","Both sexes",0,3,4,2,0
"Yes","Primary","All Locality Types","Asante Akim Central Municipal","Male",0,1,4,1,0
"Yes","Primary","All Locality Types","Asante Akim Central Municipal","Female",0,2,0,1,0
"Yes","Primary","All Locality Types","Ahafo Ano South West","Both sexes",0,1,0,2,0
"Yes","Primary","All Locality Types","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Primary","All Locality Types","Ahafo Ano South West","Female",0,1,0,2,0
"Yes","Primary","All Locality Types","Ahafo Ano North Municipal","Both sexes",0,2,0,0,0
"Yes","Primary","All Locality Types","Ahafo Ano North Municipal","Male",0,1,0,0,0
"Yes","Primary","All Locality Types","Ahafo Ano North Municipal","Female",0,1,0,0,0
"Yes","Primary","All Locality Types","Ahafo Ano South East","Both sexes",0,1,3,1,3
"Yes","Primary","All Locality Types","Ahafo Ano South East","Male",0,0,1,1,0
"Yes","Primary","All Locality Types","Ahafo Ano South East","Female",0,1,2,0,3
"Yes","Primary","All Locality Types","Sekyere Central","Both sexes",0,3,0,0,2
"Yes","Primary","All Locality Types","Sekyere Central","Male",0,3,0,0,2
"Yes","Primary","All Locality Types","Sekyere Central","Female",0,0,0,0,0
"Yes","Primary","All Locality Types","Western North","Both sexes",5,18,23,19,15
"Yes","Primary","All Locality Types","Western North","Male",1,8,13,13,8
"Yes","Primary","All Locality Types","Western North","Female",4,10,10,6,7
"Yes","Primary","All Locality Types","Ahafo","Both sexes",5,15,9,8,17
"Yes","Primary","All Locality Types","Ahafo","Male",4,5,3,5,9
"Yes","Primary","All Locality Types","Ahafo","Female",1,10,6,3,8
"Yes","Primary","All Locality Types","Bono","Both sexes",16,29,48,30,29
"Yes","Primary","All Locality Types","Bono","Male",11,14,24,18,16
"Yes","Primary","All Locality Types","Bono","Female",5,15,24,12,13
"Yes","Primary","All Locality Types","Dormaa Central Municipal","Both sexes",0,0,1,2,0
"Yes","Primary","All Locality Types","Dormaa Central Municipal","Male",0,0,1,2,0
"Yes","Primary","All Locality Types","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Primary","All Locality Types","Bono East","Both sexes",8,29,24,23,19
"Yes","Primary","All Locality Types","Bono East","Male",6,18,13,10,11
"Yes","Primary","All Locality Types","Bono East","Female",2,11,11,13,8
"Yes","Primary","All Locality Types","Oti","Both sexes",7,10,4,9,6
"Yes","Primary","All Locality Types","Oti","Male",6,2,1,5,3
"Yes","Primary","All Locality Types","Oti","Female",1,8,3,4,3
"Yes","Primary","All Locality Types","Northern","Both sexes",20,35,33,17,14
"Yes","Primary","All Locality Types","Northern","Male",16,17,21,11,10
"Yes","Primary","All Locality Types","Northern","Female",4,18,12,6,4
"Yes","Primary","All Locality Types","TMA-Tamale Central","Both sexes",0,5,6,3,3
"Yes","Primary","All Locality Types","TMA-Tamale Central","Male",0,3,4,1,2
"Yes","Primary","All Locality Types","TMA-Tamale Central","Female",0,2,2,2,1
"Yes","Primary","All Locality Types","Savannah","Both sexes",3,10,10,4,2
"Yes","Primary","All Locality Types","Savannah","Male",1,6,6,3,2
"Yes","Primary","All Locality Types","Savannah","Female",2,4,4,1,0
"Yes","Primary","All Locality Types","Central Gonja","Both sexes",0,2,2,2,1
"Yes","Primary","All Locality Types","Central Gonja","Male",0,2,1,1,1
"Yes","Primary","All Locality Types","Central Gonja","Female",0,0,1,1,0
"Yes","Primary","All Locality Types","Upper East","Both sexes",11,27,16,24,19
"Yes","Primary","All Locality Types","Upper East","Male",7,19,8,15,13
"Yes","Primary","All Locality Types","Upper East","Female",4,8,8,9,6
"Yes","Primary","All Locality Types","Upper West","Both sexes",13,22,22,13,14
"Yes","Primary","All Locality Types","Upper West","Male",5,12,11,7,7
"Yes","Primary","All Locality Types","Upper West","Female",8,10,11,6,7
"Yes","Primary","Rural","Western","Both sexes",27,32,26,25,18
"Yes","Primary","Rural","Western","Male",14,17,17,12,13
"Yes","Primary","Rural","Western","Female",13,15,9,13,5
"Yes","Primary","Rural","Wassa Amenfi Central","Both sexes",2,3,0,2,2
"Yes","Primary","Rural","Wassa Amenfi Central","Male",0,1,0,2,2
"Yes","Primary","Rural","Wassa Amenfi Central","Female",2,2,0,0,0
"Yes","Primary","Rural","Central","Both sexes",7,25,20,18,18
"Yes","Primary","Rural","Central","Male",4,14,11,10,8
"Yes","Primary","Rural","Central","Female",3,11,9,8,10
"Yes","Primary","Rural","Gomoa Central","Both sexes",0,0,1,0,1
"Yes","Primary","Rural","Gomoa Central","Male",0,0,0,0,0
"Yes","Primary","Rural","Gomoa Central","Female",0,0,1,0,1
"Yes","Primary","Rural","Greater Accra","Both sexes",3,21,22,12,16
"Yes","Primary","Rural","Greater Accra","Male",2,16,11,6,9
"Yes","Primary","Rural","Greater Accra","Female",1,5,11,6,7
"Yes","Primary","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Yes","Primary","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Yes","Primary","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Yes","Primary","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Yes","Primary","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Yes","Primary","Rural","Volta","Both sexes",8,18,18,18,12
"Yes","Primary","Rural","Volta","Male",4,9,9,10,10
"Yes","Primary","Rural","Volta","Female",4,9,9,8,2
"Yes","Primary","Rural","Central Tongu","Both sexes",0,0,3,2,1
"Yes","Primary","Rural","Central Tongu","Male",0,0,1,0,1
"Yes","Primary","Rural","Central Tongu","Female",0,0,2,2,0
"Yes","Primary","Rural","Eastern","Both sexes",6,31,30,39,25
"Yes","Primary","Rural","Eastern","Male",3,21,20,20,10
"Yes","Primary","Rural","Eastern","Female",3,10,10,19,15
"Yes","Primary","Rural","Birim Central Municipal","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","Birim Central Municipal","Male",0,0,0,0,0
"Yes","Primary","Rural","Birim Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Rural","Upper West Akim","Both sexes",0,1,2,1,2
"Yes","Primary","Rural","Upper West Akim","Male",0,1,1,0,0
"Yes","Primary","Rural","Upper West Akim","Female",0,0,1,1,2
"Yes","Primary","Rural","Ashanti","Both sexes",29,49,41,26,40
"Yes","Primary","Rural","Ashanti","Male",20,30,26,18,23
"Yes","Primary","Rural","Ashanti","Female",9,19,15,8,17
"Yes","Primary","Rural","Amansie Central","Both sexes",0,1,2,2,0
"Yes","Primary","Rural","Amansie Central","Male",0,1,1,2,0
"Yes","Primary","Rural","Amansie Central","Female",0,0,1,0,0
"Yes","Primary","Rural","Asante Akim Central Municipal","Both sexes",0,2,2,1,0
"Yes","Primary","Rural","Asante Akim Central Municipal","Male",0,0,2,1,0
"Yes","Primary","Rural","Asante Akim Central Municipal","Female",0,2,0,0,0
"Yes","Primary","Rural","Ahafo Ano South West","Both sexes",0,0,0,2,0
"Yes","Primary","Rural","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Primary","Rural","Ahafo Ano South West","Female",0,0,0,2,0
"Yes","Primary","Rural","Ahafo Ano North Municipal","Both sexes",0,2,0,0,0
"Yes","Primary","Rural","Ahafo Ano North Municipal","Male",0,1,0,0,0
"Yes","Primary","Rural","Ahafo Ano North Municipal","Female",0,1,0,0,0
"Yes","Primary","Rural","Ahafo Ano South East","Both sexes",0,0,1,1,3
"Yes","Primary","Rural","Ahafo Ano South East","Male",0,0,0,1,0
"Yes","Primary","Rural","Ahafo Ano South East","Female",0,0,1,0,3
"Yes","Primary","Rural","Sekyere Central","Both sexes",0,2,0,0,2
"Yes","Primary","Rural","Sekyere Central","Male",0,2,0,0,2
"Yes","Primary","Rural","Sekyere Central","Female",0,0,0,0,0
"Yes","Primary","Rural","Western North","Both sexes",2,15,12,13,10
"Yes","Primary","Rural","Western North","Male",1,6,8,9,6
"Yes","Primary","Rural","Western North","Female",1,9,4,4,4
"Yes","Primary","Rural","Ahafo","Both sexes",4,8,3,2,3
"Yes","Primary","Rural","Ahafo","Male",3,3,0,0,2
"Yes","Primary","Rural","Ahafo","Female",1,5,3,2,1
"Yes","Primary","Rural","Bono","Both sexes",2,3,16,10,6
"Yes","Primary","Rural","Bono","Male",1,2,10,7,3
"Yes","Primary","Rural","Bono","Female",1,1,6,3,3
"Yes","Primary","Rural","Dormaa Central Municipal","Both sexes",0,0,1,1,0
"Yes","Primary","Rural","Dormaa Central Municipal","Male",0,0,1,1,0
"Yes","Primary","Rural","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Rural","Bono East","Both sexes",4,12,9,8,2
"Yes","Primary","Rural","Bono East","Male",3,9,5,4,2
"Yes","Primary","Rural","Bono East","Female",1,3,4,4,0
"Yes","Primary","Rural","Oti","Both sexes",5,6,2,3,2
"Yes","Primary","Rural","Oti","Male",5,1,1,3,1
"Yes","Primary","Rural","Oti","Female",0,5,1,0,1
"Yes","Primary","Rural","Northern","Both sexes",7,3,8,7,2
"Yes","Primary","Rural","Northern","Male",5,2,5,5,2
"Yes","Primary","Rural","Northern","Female",2,1,3,2,0
"Yes","Primary","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Yes","Primary","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"Yes","Primary","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"Yes","Primary","Rural","Savannah","Both sexes",2,4,7,3,1
"Yes","Primary","Rural","Savannah","Male",1,2,4,3,1
"Yes","Primary","Rural","Savannah","Female",1,2,3,0,0
"Yes","Primary","Rural","Central Gonja","Both sexes",0,1,2,1,1
"Yes","Primary","Rural","Central Gonja","Male",0,1,1,1,1
"Yes","Primary","Rural","Central Gonja","Female",0,0,1,0,0
"Yes","Primary","Rural","Upper East","Both sexes",9,22,11,11,11
"Yes","Primary","Rural","Upper East","Male",6,14,5,6,7
"Yes","Primary","Rural","Upper East","Female",3,8,6,5,4
"Yes","Primary","Rural","Upper West","Both sexes",8,12,16,5,5
"Yes","Primary","Rural","Upper West","Male",5,6,10,5,3
"Yes","Primary","Rural","Upper West","Female",3,6,6,0,2
"Yes","Primary","Urban","Western","Both sexes",12,24,33,25,20
"Yes","Primary","Urban","Western","Male",8,10,17,18,10
"Yes","Primary","Urban","Western","Female",4,14,16,7,10
"Yes","Primary","Urban","Wassa Amenfi Central","Both sexes",0,3,1,0,1
"Yes","Primary","Urban","Wassa Amenfi Central","Male",0,0,1,0,0
"Yes","Primary","Urban","Wassa Amenfi Central","Female",0,3,0,0,1
"Yes","Primary","Urban","Central","Both sexes",21,63,43,54,51
"Yes","Primary","Urban","Central","Male",9,33,29,29,29
"Yes","Primary","Urban","Central","Female",12,30,14,25,22
"Yes","Primary","Urban","Gomoa Central","Both sexes",0,0,0,2,2
"Yes","Primary","Urban","Gomoa Central","Male",0,0,0,2,1
"Yes","Primary","Urban","Gomoa Central","Female",0,0,0,0,1
"Yes","Primary","Urban","Greater Accra","Both sexes",81,193,246,211,195
"Yes","Primary","Urban","Greater Accra","Male",38,125,153,122,110
"Yes","Primary","Urban","Greater Accra","Female",43,68,93,89,85
"Yes","Primary","Urban","Ga Central Municipal","Both sexes",5,15,17,7,9
"Yes","Primary","Urban","Ga Central Municipal","Male",2,8,11,2,5
"Yes","Primary","Urban","Ga Central Municipal","Female",3,7,6,5,4
"Yes","Primary","Urban","Ablekuma Central Municipal","Both sexes",5,17,13,11,6
"Yes","Primary","Urban","Ablekuma Central Municipal","Male",2,12,11,6,5
"Yes","Primary","Urban","Ablekuma Central Municipal","Female",3,5,2,5,1
"Yes","Primary","Urban","Ayawaso Central Municipal","Both sexes",0,1,4,2,6
"Yes","Primary","Urban","Ayawaso Central Municipal","Male",0,1,4,2,3
"Yes","Primary","Urban","Ayawaso Central Municipal","Female",0,0,0,0,3
"Yes","Primary","Urban","TMA-Tema Central","Both sexes",1,2,4,1,2
"Yes","Primary","Urban","TMA-Tema Central","Male",0,0,3,0,2
"Yes","Primary","Urban","TMA-Tema Central","Female",1,2,1,1,0
"Yes","Primary","Urban","Volta","Both sexes",11,20,16,19,16
"Yes","Primary","Urban","Volta","Male",8,10,7,9,9
"Yes","Primary","Urban","Volta","Female",3,10,9,10,7
"Yes","Primary","Urban","Central Tongu","Both sexes",0,0,0,2,0
"Yes","Primary","Urban","Central Tongu","Male",0,0,0,2,0
"Yes","Primary","Urban","Central Tongu","Female",0,0,0,0,0
"Yes","Primary","Urban","Eastern","Both sexes",20,45,49,35,27
"Yes","Primary","Urban","Eastern","Male",9,29,23,17,17
"Yes","Primary","Urban","Eastern","Female",11,16,26,18,10
"Yes","Primary","Urban","Birim Central Municipal","Both sexes",1,0,2,1,0
"Yes","Primary","Urban","Birim Central Municipal","Male",0,0,1,0,0
"Yes","Primary","Urban","Birim Central Municipal","Female",1,0,1,1,0
"Yes","Primary","Urban","Upper West Akim","Both sexes",0,2,3,0,1
"Yes","Primary","Urban","Upper West Akim","Male",0,2,2,0,1
"Yes","Primary","Urban","Upper West Akim","Female",0,0,1,0,0
"Yes","Primary","Urban","Ashanti","Both sexes",34,88,92,70,68
"Yes","Primary","Urban","Ashanti","Male",21,56,51,33,33
"Yes","Primary","Urban","Ashanti","Female",13,32,41,37,35
"Yes","Primary","Urban","Amansie Central","Both sexes",0,1,0,0,0
"Yes","Primary","Urban","Amansie Central","Male",0,0,0,0,0
"Yes","Primary","Urban","Amansie Central","Female",0,1,0,0,0
"Yes","Primary","Urban","Asante Akim Central Municipal","Both sexes",0,1,2,1,0
"Yes","Primary","Urban","Asante Akim Central Municipal","Male",0,1,2,0,0
"Yes","Primary","Urban","Asante Akim Central Municipal","Female",0,0,0,1,0
"Yes","Primary","Urban","Ahafo Ano South West","Both sexes",0,1,0,0,0
"Yes","Primary","Urban","Ahafo Ano South West","Male",0,0,0,0,0
"Yes","Primary","Urban","Ahafo Ano South West","Female",0,1,0,0,0
"Yes","Primary","Urban","Ahafo Ano North Municipal","Both sexes",0,0,0,0,0
"Yes","Primary","Urban","Ahafo Ano North Municipal","Male",0,0,0,0,0
"Yes","Primary","Urban","Ahafo Ano North Municipal","Female",0,0,0,0,0
"Yes","Primary","Urban","Ahafo Ano South East","Both sexes",0,1,2,0,0
"Yes","Primary","Urban","Ahafo Ano South East","Male",0,0,1,0,0
"Yes","Primary","Urban","Ahafo Ano South East","Female",0,1,1,0,0
"Yes","Primary","Urban","Sekyere Central","Both sexes",0,1,0,0,0
"Yes","Primary","Urban","Sekyere Central","Male",0,1,0,0,0
"Yes","Primary","Urban","Sekyere Central","Female",0,0,0,0,0
"Yes","Primary","Urban","Western North","Both sexes",3,3,11,6,5
"Yes","Primary","Urban","Western North","Male",0,2,5,4,2
"Yes","Primary","Urban","Western North","Female",3,1,6,2,3
"Yes","Primary","Urban","Ahafo","Both sexes",1,7,6,6,14
"Yes","Primary","Urban","Ahafo","Male",1,2,3,5,7
"Yes","Primary","Urban","Ahafo","Female",0,5,3,1,7
"Yes","Primary","Urban","Bono","Both sexes",14,26,32,20,23
"Yes","Primary","Urban","Bono","Male",10,12,14,11,13
"Yes","Primary","Urban","Bono","Female",4,14,18,9,10
"Yes","Primary","Urban","Dormaa Central Municipal","Both sexes",0,0,0,1,0
"Yes","Primary","Urban","Dormaa Central Municipal","Male",0,0,0,1,0
"Yes","Primary","Urban","Dormaa Central Municipal","Female",0,0,0,0,0
"Yes","Primary","Urban","Bono East","Both sexes",4,17,15,15,17
"Yes","Primary","Urban","Bono East","Male",3,9,8,6,9
"Yes","Primary","Urban","Bono East","Female",1,8,7,9,8
"Yes","Primary","Urban","Oti","Both sexes",2,4,2,6,4
"Yes","Primary","Urban","Oti","Male",1,1,0,2,2
"Yes","Primary","Urban","Oti","Female",1,3,2,4,2
"Yes","Primary","Urban","Northern","Both sexes",13,32,25,10,12
"Yes","Primary","Urban","Northern","Male",11,15,16,6,8
"Yes","Primary","Urban","Northern","Female",2,17,9,4,4
"Yes","Primary","Urban","TMA-Tamale Central","Both sexes",0,5,6,3,3
"Yes","Primary","Urban","TMA-Tamale Central","Male",0,3,4,1,2
"Yes","Primary","Urban","TMA-Tamale Central","Female",0,2,2,2,1
"Yes","Primary","Urban","Savannah","Both sexes",1,6,3,1,1
"Yes","Primary","Urban","Savannah","Male",0,4,2,0,1
"Yes","Primary","Urban","Savannah","Female",1,2,1,1,0
"Yes","Primary","Urban","Central Gonja","Both sexes",0,1,0,1,0
"Yes","Primary","Urban","Central Gonja","Male",0,1,0,0,0
"Yes","Primary","Urban","Central Gonja","Female",0,0,0,1,0
"Yes","Primary","Urban","Upper East","Both sexes",2,5,5,13,8
"Yes","Primary","Urban","Upper East","Male",1,5,3,9,6
"Yes","Primary","Urban","Upper East","Female",1,0,2,4,2
"Yes","Primary","Urban","Upper West","Both sexes",5,10,6,8,9
"Yes","Primary","Urban","Upper West","Male",0,6,1,2,4
"Yes","Primary","Urban","Upper West","Female",5,4,5,6,5
"Yes","JSS/JHS","All Locality Types","Western","Both sexes",676,464,433,405,337
"Yes","JSS/JHS","All Locality Types","Western","Male",401,295,292,264,231
"Yes","JSS/JHS","All Locality Types","Western","Female",275,169,141,141,106
"Yes","JSS/JHS","All Locality Types","Wassa Amenfi Central","Both sexes",18,20,18,11,8
"Yes","JSS/JHS","All Locality Types","Wassa Amenfi Central","Male",13,15,13,7,7
"Yes","JSS/JHS","All Locality Types","Wassa Amenfi Central","Female",5,5,5,4,1
"Yes","JSS/JHS","All Locality Types","Central","Both sexes",979,676,720,626,458
"Yes","JSS/JHS","All Locality Types","Central","Male",565,473,514,432,334
"Yes","JSS/JHS","All Locality Types","Central","Female",414,203,206,194,124
"Yes","JSS/JHS","All Locality Types","Gomoa Central","Both sexes",20,20,40,13,19
"Yes","JSS/JHS","All Locality Types","Gomoa Central","Male",12,15,30,7,17
"Yes","JSS/JHS","All Locality Types","Gomoa Central","Female",8,5,10,6,2
"Yes","JSS/JHS","All Locality Types","Greater Accra","Both sexes",3993,1963,2409,2189,1938
"Yes","JSS/JHS","All Locality Types","Greater Accra","Male",2359,1295,1677,1491,1352
"Yes","JSS/JHS","All Locality Types","Greater Accra","Female",1634,668,732,698,586
"Yes","JSS/JHS","All Locality Types","Ga Central Municipal","Both sexes",220,113,143,123,132
"Yes","JSS/JHS","All Locality Types","Ga Central Municipal","Male",127,74,109,81,97
"Yes","JSS/JHS","All Locality Types","Ga Central Municipal","Female",93,39,34,42,35
"Yes","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Both sexes",132,84,95,66,53
"Yes","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Male",82,63,74,46,33
"Yes","JSS/JHS","All Locality Types","Ablekuma Central Municipal","Female",50,21,21,20,20
"Yes","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Both sexes",52,46,53,50,42
"Yes","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Male",40,41,43,39,36
"Yes","JSS/JHS","All Locality Types","Ayawaso Central Municipal","Female",12,5,10,11,6
"Yes","JSS/JHS","All Locality Types","TMA-Tema Central","Both sexes",73,27,24,23,21
"Yes","JSS/JHS","All Locality Types","TMA-Tema Central","Male",37,21,18,18,17
